Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,82.763245,83.15364100000001,75.996437,78.989449,30.253041999999997,6617600
2000-01-04,76.777222,78.59906,74.43486800000001,75.085526,28.757828000000003,5050200
2000-01-05,75.345787,75.475914,71.83225300000001,73.914345,28.309261,6110100
2000-01-06,73.13356,74.955391,72.48290300000001,73.13356,28.010233000000003,5090400
2000-01-07,72.873299,74.43486800000001,70.92133299999999,74.17460600000001,28.408959999999997,3765000
2000-01-10,75.475914,76.777222,74.69512900000001,76.51696,29.306079999999998,3085400
2000-01-11,76.90735600000001,76.90735600000001,71.051468,71.051468,27.212785999999998,5356300
2000-01-12,69.229637,70.27068299999999,66.627014,67.147537,25.717579,4696900
2000-01-13,69.229637,71.571991,67.79819499999999,71.571991,27.412127,4405800
2000-01-14,74.304741,74.955391,69.620026,72.613037,27.810871000000002,5477700
2000-01-18,75.475914,83.54402900000001,74.43486800000001,83.28376800000001,31.897768,10572100
2000-01-19,81.071541,81.852333,77.948402,79.11958299999999,30.302884999999996,8704700
2000-01-20,79.640106,79.900368,77.037483,78.85932199999999,30.203201,3927900
2000-01-21,79.50997199999999,81.98246,79.11958299999999,81.201675,31.100336,5707100
2000-01-24,81.98246,82.112595,78.85932199999999,78.85932199999999,30.203201,4780200
2000-01-25,77.297752,81.201675,74.955391,74.955391,28.707990999999996,3683000
2000-01-26,78.989449,82.242722,77.818275,81.98246,31.399345,7478300
2000-01-27,82.63311800000001,89.790314,81.98246,89.009529,34.090752,13460000
2000-01-28,89.009529,91.351883,85.886391,87.44796,33.49268,9564700
2000-01-31,87.708221,90.44097099999999,85.495995,89.660187,34.339931,4763800
2000-02-01,88.22874499999999,88.489006,85.365868,86.797302,33.243458000000004,5766400
2000-02-02,87.708221,87.708221,83.28376800000001,84.324814,32.296486,5293900
2000-02-03,85.495995,86.537041,83.934425,85.105598,32.595528,3295900
2000-02-04,86.406914,86.406914,82.763245,83.28376800000001,31.897768,2838100
2000-02-07,83.15364100000001,83.28376800000001,79.640106,81.461937,31.200024,4136400
2000-02-08,83.804291,85.886391,83.02350600000001,85.886391,32.894573,4015500
2000-02-09,85.365868,86.927437,84.585075,85.495995,32.745033,4276200
2000-02-10,85.886391,86.797302,84.064552,84.324814,32.296486,2669100
2000-02-11,84.585075,84.585075,81.071541,82.502983,31.598745,2374000
2000-02-14,81.33181,83.02350600000001,80.290756,81.071541,31.050482000000002,2542000
2000-02-15,80.681152,81.201675,78.989449,80.420891,30.801287,3724300
2000-02-16,79.640106,80.160629,77.948402,79.77023299999999,30.552078,2728700
2000-02-17,79.900368,83.28376800000001,78.208664,82.63311800000001,31.648547999999998,8782500
2000-02-18,81.72219799999999,82.372856,77.948402,78.338799,30.003819,4075500
2000-02-22,79.11958299999999,80.030495,78.338799,79.640106,30.502234,2175200
2000-02-23,79.640106,79.640106,75.475914,77.948402,29.854316999999998,2413700
2000-02-24,77.688141,79.11958299999999,74.17460600000001,78.59906,30.103508,4156900
2000-02-25,75.475914,82.372856,75.345787,81.201675,31.100336,4389400
2000-02-28,81.201675,82.112595,78.078537,81.592072,31.249846,3188000
2000-02-29,81.592072,82.763245,77.037483,77.037483,29.505426,4378800
2000-03-01,80.160629,84.324814,77.037483,77.037483,29.505426,7336900
